,0,1,2,3
19702,,0,Mon Mar 02 06:21:41 +0000 2020,@sardesairajdeep @AmitShah Just donâ€™t understand d logic of this govt. they r the one bringing #CAA and going after oppn bcoz people are not in favor.  Shouldnt they be reaching out n listening to people/opposition or is it a dictatorship?   This is Ind
19704,,0,Mon Mar 02 06:19:26 +0000 2020,"@Logical59010344 @TheRahulMahajan Says someone who is defending #DelhiPolice after these awful #DelhiRiots ðŸ™„  And btw, I do support #CAA, I do oppose these stupid unlawful encroachment of #ShaheenBagh, I just can't say that Delhi Police let riots,murde"
19707,,0,Mon Mar 02 06:13:00 +0000 2020,"@ShekharGupta You don't like #CAA so government should remove it...But people of ðŸ‡®ðŸ‡³ wanted #CAA to be brought in,so they voted for @BJP4India and @narendramodi @AmitShah @rsprasad"
19710,,0,Mon Mar 02 06:02:49 +0000 2020,"@_VSriram @jayasartn @fayedsouza #CAA I am assuming that the avenues available to Muslims from Pakistan, Afghanistan and Bangladesh to apply for Indian citizenship are also available to Hindus and other minorities. So why is CAA needed? It is just causing"
19711,,0,Mon Mar 02 05:55:48 +0000 2020,"@nilanjanaroy Hahaha dhimmis mixing un-conceived #NRC with #CAA which doesn't affect any of minorities of India. Central law #CAA passed with majority in LS and RS, no state Governments Resolutions can't stop it from implementing."
19712,,0,Mon Mar 02 05:54:53 +0000 2020,@PChidambaram_IN #CAA  is meant to support and help the minorities staying in the other Countries .It doesn't effect the Muslim minorities who are already Citizens of India and who have been appeased for 7 Decades and will continue to be appeased. Please 
19714,,0,Mon Mar 02 05:49:54 +0000 2020,@ajeetbharti @Sanjay_Dixit #CAA is to STAY! And many more laws to come! Try and stop. India  is used to of these islamist creating havoc and going on zombie killathone for last 1400 years. We are still 1billion Hindus and will remain so 5000 years later a
19715,à¤­à¤¾à¤°à¤¤,0,Mon Mar 02 05:42:31 +0000 2020,In February 2020 Whole world is fighting against #coronavirus  India is fighting on #caa  Whole world is dealing with  market  crash India is counting death in riots and blaming eachother Hope march would be better
19719,India,0,Mon Mar 02 05:39:37 +0000 2020,@sharmaAvl The hate which was created by media and liberals online with false narratives around #CAA was all unleashed on this innocent man.
19720,,0,Mon Mar 02 05:39:25 +0000 2020,"@PChidambaram_IN Go and ask #ManMohanSingh and #Gandhiji as they wanted #CAA in the India.  We the Indian want #CAA, #NRC and #UCC and that's why we gave 303 seats to #NDA. Next time it will be 450 plus for sure. @narendramodi @AmitShah put this nerd behi"
19722,Derby,0,Mon Mar 02 05:37:01 +0000 2020,Updates on the flights to and from Dubai to Bahrain have been limited to non since the last 48 total ban expired a few days ago? would be good to know on the run up to F1 weekend if and how they will resume fully? #bahrain #CAA  #gulfair @GulfAir @emirates  #dubai #DXB #F1
19723,,0,Mon Mar 02 05:32:44 +0000 2020,@vishaliyer25 @fayedsouza #CAA Welcomes persecuted ppl to come to India &amp; it is a sign of great nation. But CAA + NRC make ONLY the Muslims stateless and send them to detention camps. Amend CAA to make it fair &amp; just â€“ include Myanmar &amp; Sri 
19725,"Bengaluru, South India",0,Mon Mar 02 05:30:23 +0000 2020,"*Constitution is greater than Quran, Bible ,and Gita. larger discussions need to happen. We are doing a broad framework discussion on it. #CAA is also part of it* @BJP4Karnataka Leader MLC Narayanswamy. BJP plans to have a discussion on const in assembly from tomorrow till 5th."
19726,,0,Mon Mar 02 05:28:48 +0000 2020,@jayasartn @fayedsouza #CAA Welcoming persecuted ppl to come to India is a sign of a great nation. But CAA + NRC make ONLY the Muslims stateless and send them to detention camps. Amend CAA to make it fair &amp; just â€“ include Myanmar &amp; Sri Lanka and
19727,,0,Mon Mar 02 05:23:41 +0000 2020,"@Rahulanalytics @VeeryaSorry @Pun_Starr @kapsology @HemantSorenJMM If the REAL intention is help Refugees and no one else has to worry as claimed by Ministers,   Then can Govt add a clause in #CAA that:  a) It is APPLICABLE ONLY for REFUGEES Who APPLY vol"
19728,,0,Mon Mar 02 05:22:50 +0000 2020,"@Pun_Starr @HemantSorenJMM If the REAL intention is help Refugees and no one else has to worry as claimed by Ministers,   Then can Govt add a clause in #CAA that:  a) It is APPLICABLE ONLY for REFUGEES Who APPLY voluntarily for citizenship  .  b) It can n"
19729,,0,Mon Mar 02 05:22:12 +0000 2020,@fayedsouza Putting aside the purpose #CAA serves are you saying government should rollback CAA because of riots and loss of life.
19730,Jerusalem ,0,Mon Mar 02 05:18:11 +0000 2020,"@fayedsouza Minorities who were left behind at the time of partition, some were not able to cross because of fear of life and loosing all their assets. They need #CAA, I still dont understand why any legal India citizen will oppose #CAA or you are dumb or"
19733,,0,Mon Mar 02 05:14:57 +0000 2020,"@NrcProtest #CAA That is the spirit of unity and brotherhood. Religion is personal like a favourite color. See Indians as Indians first. Do not see them thru the labels of Hindu, Dalit, Muslim, Sikh or Jain. #BJP wants you to see thru these labels; it is "
19735,,0,Mon Mar 02 05:12:12 +0000 2020,@noconversion and population control laws will see more resistance than #CAA. Those two will hit last nail on anti national elements who is dreaming for a different world. This two laws are a must to keep indic civilization @indiccollective @jsaideepak @S
19736,"Bengaluru, India",0,Mon Mar 02 05:11:37 +0000 2020,@fayedsouza After 42 lives were list u understood it has nothing to do with indian citizens and agitation against #CAA is just to defame the country @ndtv @otvnews @the_hindu @TimesNow
19738,Mumbai ,0,Mon Mar 02 05:04:45 +0000 2020,@sardesairajdeep @AmitShah Don't agree. #CAA issue is created by vested interest with a plan to communalism Hindu Muslims issue. In CAA there is no mention of loss of citizenship to any Indian including Muslims. Why wrong narrative created by political pa
19739,,0,Mon Mar 02 05:03:26 +0000 2020,@pallavict @shahid_siddiqui #CAA Welcoming persecuted ppl to come to India is a sign of a great nation. But CAA + NRC make ONLY the Muslims stateless and send them to detention camps. Amend CAA to make it fair &amp; just â€“ include Myanmar &amp; Sri Lank
19741,India,0,Mon Mar 02 04:59:44 +0000 2020,Those who asked why NPR is fighting against NRC. So the answer is those Hindus and Muslims of Delhi whose houses are burnt in the riots. Who had all the papers burnt. There are millions of families in the country whose papers are burnt.  @pappuyadavjapl #Delhi #CAA #DelhiRiot2020
19742,"Mumbai, India",0,Mon Mar 02 04:54:10 +0000 2020,@khaInayak @Sydusm @fayedsouza Also divided the nation on basis of religion in '47 now crying discrimination. When ae such thr is no discrimination anywhere in #CAA. And people  who shld educate everyone abt the reality of are spreading mis-information an
19743,City of Pearls,0,Mon Mar 02 04:50:09 +0000 2020,"#AmitShah I have a question, in case a #Hindu who is an illegal immigrant gets #Indian #Citizenship under #CAA and then reverts to #Islam ?  So what next ? Ghar wapsi 2 or CAA 2 ?"
19744,à¤¸à¤®à¥à¤ªà¥‚à¤°à¥à¤£ à¤­à¤¾à¤°à¤¤ à¤®à¥‡à¤°à¤¾ à¤¹à¥ˆ ,0,Mon Mar 02 04:42:27 +0000 2020,@ishkarnBHANDARI Why does not govt bring a law to punish fake news? Fake narrative about #CAA by presstitutes and no action against them is responsible for #DelhiRiots .@rsprasad A lie said 100 tyms becomes truth.
19745,,0,Mon Mar 02 04:40:09 +0000 2020,@fayedsouza #CAA has nothing to do with these cooked up riots and damages! Not a single Indian citizen is going to loose their citizenship under the act! But of course if you canâ€™t spread the hate and fake propaganda you canâ€™t be liberal!
19746,,0,Mon Mar 02 04:36:40 +0000 2020,#HindusUniteForDharma  Just rename #CAA as minority protection bill and you will have not any protest
19747,India,1,Mon Mar 02 04:35:45 +0000 2020,@PrinceArihan Riots proved necessity of #CAA and belated farsightedness of government.
19749,,0,Mon Mar 02 04:21:29 +0000 2020,"""Untouchables become Hindus during Hindu-Muslim riots and go back to be untouchables once riots are over.""  - Dr. Ambedkar. #CAA #DelhiGenocide2020 #dalits #untouchables"
19750,,1,Mon Mar 02 04:19:16 +0000 2020,"RT @FahadMaqsusi: #AmitShah I have a question, in case a #Hindu who is an illegal immigrant gets #Indian #Citizenship under #CAA and then râ€¦"
19751,Bangalore,0,Mon Mar 02 04:15:21 +0000 2020,"@PChidambaram_IN Sir, please read. #CAA is to benefit all minorities of Afganistan, Bangladesh and Pakistan. Muslims are NOT minorities in those countries. Do you understand that or you want to create unrest because you are in Opposition?"
19752,India,0,Mon Mar 02 04:14:55 +0000 2020,The same old 'Tu Tu- Mai Mai' political drama will be staged in the parliament today. All political parties must be held accountable for the mess in Delhi. They must collectively pay for the loss and damages. The #CAA stuff must end now. #_Suspend_delhi_govt  #Delhi  #DelhiBurns
19755,,0,Mon Mar 02 03:54:57 +0000 2020,@sagarikaghose Do you honestly think #AmitShah and #NarendraModi or their #GoliMaro thugs and goons care a fig for what the #BritishParliament has to say on #CAA?
19761,,0,Mon Mar 02 03:38:08 +0000 2020,@spinesurgeon Is Tamil Nadu prepared? I am not seeing any alertness from current administration on #COVID19? I am sure at India level Indian Govt is too distracted by its own #CAA mess and has not done anything to stop the virus.
19762,,1,Mon Mar 02 03:32:10 +0000 2020,RT @jagatinfinity: @AmyMek And that's the kind of people @narendramodi has tried to help with #CAA .
19770,,1,Mon Mar 02 03:17:54 +0000 2020,"@fayedsouza #CAA does NOT apply to Indian citizens. It merely fast-tracks citizenship for refugees from neighbouring Islamic nations. Like #AsiaBibi. IMO, @fayedsouza you and others like you are responsible for maliciously misrepresenting CAA -- resulting"
19771,"Rajkot, India",0,Mon Mar 02 03:17:21 +0000 2020,@barbarindian @ajitdatta Till yesterday they were saying riots took place because of #KapilMishra and now trying to link them with #CAA What a spin
19772,India,0,Mon Mar 02 03:16:10 +0000 2020,"@shahid_siddiqui Still the #CHAMCHAS of the British. You all will never come out of the mindset of puncture repairing. Repair the puncture of your brain too.  Weep, cry or moan but #CAA is now a reality and #CHAMCHAS should learn to live with it."
19773,,0,Mon Mar 02 03:16:07 +0000 2020,"@GadgeRugved @mamidala90 Also when a section of people turns violent, they compromise the who protest. The whole crowd then has to be either shifted or dispersed ! Peaceful folks can gather later and protest. They blocked a major road for 60 days and a 2 "
19778,,0,Mon Mar 02 03:03:28 +0000 2020,"@IndiaToday Hey @PChidambaram_IN everyone knows @INCIndia benifts form Muzlims vote bank and inturn leaches like you. #CAA is not for Indian Minorities, and Muzlimz are not minority in these 3 Mulimz nation's. Go and burn your bottom somewhere else."
19780,,2,Mon Mar 02 03:01:03 +0000 2020,"@BesuraTaansane The fires of protest against #CAA started only after the congress party created the falsehood that the Act was discriminatory against Indian Muslims. The police should book Sonia Gandhi and her cohorts for spreading hate, leading to Delhi "
19782,"Mississauga, Ontario",1,Mon Mar 02 02:58:13 +0000 2020,"@nirmals09 @BloombergQuint @Bloomberg @BloombergTV I wonder why foreign media has prioritized demonizing the #CAA , #India and #Hindus More than 4 million #syrians are about to infiltrate #Turkey, #Malaysiaâ€™s govt just got overthrown nd #Pakistan is on "
19786,"New Delhi, India",0,Mon Mar 02 02:46:51 +0000 2020,"@jijoy_matt Kindly advise His Lordship to keep the farts coming...louder the better! Because as you probably know,one should never hold one's farts in 'cause they have a tendency to travel up your spine and into your brain! #CAA #SupportCAA"
19790,,0,Mon Mar 02 02:22:10 +0000 2020,"@fayedsouza When we do good things for others, the good always comes back. But people are stuck in their selfish, greedy life and do not understand that #CAA has nothing to do with Indians, even the â€œsmartâ€ journalists like you and @RanaAyyub"
19791,"Pune, India",1,Mon Mar 02 02:21:25 +0000 2020,RT @vivekashenoy: @fayedsouza Lol. Aren't you exposing yourself. Now you realize a law which doesn't affect citizens and all these mayhem iâ€¦
19793,,5,Mon Mar 02 02:16:37 +0000 2020,@D_Tarczynski India is going to draft NRC whether the left liberals like it or not and follow the policy of kicking out every single MUSLIM ILLEGAL IMMIGRANT from every nook and corner of our country!! #NRC #CAA
19795,,0,Mon Mar 02 02:16:24 +0000 2020,"@suchetadalal From Ayodhya to #CAA, all so called ""liberals"" are demanding is this. Right or wrong, Hindus should bow down to bullying and intransigence of Muslims. If they assert their rights, they are hate-mongers. Verily  liberalism is a mental disease"
19796,,0,Mon Mar 02 02:14:46 +0000 2020,@sagarikaghose It's an internal matter . If they go against #caa . Islamic Terrorists will incr in India and convert India into Syria . Afterwards US should thier army to India to reduce Terrorism. Just like Syria
19797,,0,Mon Mar 02 02:13:38 +0000 2020,"#CAA In 1947, we won independence from British rule; in that struggle, Hindus, Muslims and Sikhs fought shoulder to shoulder but not the #RSS; RSS in fact assassinated Mahatma Gandhi &amp; now rules India thru #BJP. Who loves India more? People destroying it or people preserving it?"
19800,India,0,Mon Mar 02 02:05:33 +0000 2020,"@PChidambaram_IN Don't be so ignorant Chidu Ji, No Indians be it from will be affected by #CAA only illegal Pakistani and Bangladeshi Muslims won't get Indian citizenship by default, that's it."
19801,,1,Mon Mar 02 01:54:59 +0000 2020,@AmyMek And that's the kind of people @narendramodi has tried to help with #CAA .
19802,,0,Mon Mar 02 01:49:27 +0000 2020,"#CAA #NRC, if like Assam, poses  risk to poor, ppl w/o land ownership, flood &amp; riot victims, villagers, labourers &amp; all who do not have docs and not able to get them but have lived in India forever. To catch foreigners, you donâ€™t need to go thru the expensive NRC. #NoNRC"
19803,Aamchi Mumbai,0,Mon Mar 02 01:48:26 +0000 2020,"Malaysia, china should steer clear off India's internal/domestic affairs, India is a sensible democracy and world knows it.  #CAA"
19810,,1,Mon Mar 02 01:22:08 +0000 2020,"RT @AmolTitus: To prevent further polarization and mistrust, which seriously detract from the urgent task of inclusive economic developmentâ€¦"
19811,,0,Mon Mar 02 01:09:10 +0000 2020,"@PMOIndia @rsprasad @BJP4India @gps35 @amitmalviya @KHANNANAGARAJU @PrakashJavdekar @klnbjp @drlaxmanbjp @JPNadda Provide me with  1. The Act , Article 2 and 3 (before) 2. The amendment #CAA 3. The Act, Article 2, and 3 (after, changed sections clearly hi"
19814,Age of Aquarius,0,Mon Mar 02 00:57:09 +0000 2020,"@fayedsouza #CAAâ€™s for people fleeing persecution - itâ€™s not free for all come in and rampage, itâ€™s not for people to use the country but not belong to it, itâ€™s not for people who a serve religion above India. Itâ€™s for people who will integrate,"
19818,,0,Mon Mar 02 00:22:35 +0000 2020,"@CNN @RanaAyyub But don't worry now #CAA is done and dusted, #NRC is one the way may be in the coming parliamentary session btw this government will not let you go that easy #UCC  will be somewhere around the corner too. Try crying foul as much as you can"
19819,,1,Mon Mar 02 00:19:27 +0000 2020,"To prevent further polarization and mistrust, which seriously detract from the urgent task of inclusive economic development, the government of #India needs to undertake a sincere and transparent outreach program clarifying all aspects of the #CAA-NPR-NRC. Engage don't enrage."
19820,"à¤¬à¥ˆà¤‚à¤—à¤²à¥à¤°à¥, à¤­à¤¾à¤°à¤¤",0,Mon Mar 02 00:18:27 +0000 2020,@fayedsouza Could you tell what is there in #CAA against Indian citizens? Lutyen media is the real culprit here and more importantly black mailing wonâ€™t work anymore with Indian govt.
19829,Hobart ðŸ‡¦ðŸ‡º | Mumbai ðŸ‡®ðŸ‡³,0,Sun Mar 01 23:20:34 +0000 2020,It is imperative for Indians living overseas to use our privilege of not being stifled by the state machinery of the India to raise our voice against the anti-minority violence like the #DelhiRiots2020 and policies (#CAA and #NRC) of the Modi led #BJP government.
19832,,0,Sun Mar 01 22:59:03 +0000 2020,@khushsundar @BJP4India Go and debate if you think #caa is not helping...why afraid?
19833,,0,Sun Mar 01 22:48:13 +0000 2020,"#CAA In a well documented country, proving citizenship is not a problem. If you lost your docs, you can to go municipality and get a new birth cert. But in India, the record keeping is not good. #NCR affects  poor  &amp; undocumented or whose names are spelled differently in docs."
19839,Riyadh,1,Sun Mar 01 22:19:59 +0000 2020,"#AmitShah I have a question, in case a #Hindu who is an illegal immigrant gets #Indian #Citizenship under #CAA and then reverts to #Islam ?  So what next ?"
19853,,0,Sun Mar 01 20:56:16 +0000 2020,@BDUTT @DelhiPolice Citizenry is still waiting for media and its one sideded reporters to change ..let us see you do a complete coverage on Tahir Hussain and all his activities from Shaheen Bagh to Riots #CAA #RiotReality #DelhiViolence #Mojo @ndtv
19859,India ,0,Sun Mar 01 20:28:19 +0000 2020,"I used to be even stevens between the Republicans &amp; the Dems.  Neither too much like nor dislike.   But, now, I am like all over towards the Republicans ðŸ˜  AND, to be fair to me, well b4 POTUS' visit or his #CAA answers, I went their way big time .. Go c my tweets .. Its NOT"
19860,kiu? koi masla hea! ,1,Sun Mar 01 20:28:09 +0000 2020,RT @warp0rn: Most muslims in india who are being raped burnt and killed are descendants of mukti bahini and they used to boast about it. Usâ€¦
19861,"New Delhi, India",0,Sun Mar 01 20:27:54 +0000 2020,@nehadixit123 @younussaleem11 @KSaifi @KapilMishra_IND Hahahaha.. he's blindly and wilfully spreading lies about #CAA and you called him activist??? Shame on such activist and on you.. hw should let people know about truth not spread hate..
19862,,0,Sun Mar 01 20:27:24 +0000 2020,"@PChidambaram_IN who will make you Finance Minister,in  #CAA Muslim not included because of thay are not minorities in Pakistan Bangladesh and Afghanistan. And if you know this reality than don't polarization the issue"
19863,,1,Sun Mar 01 20:26:32 +0000 2020,Most muslims in india who are being raped burnt and killed are descendants of mukti bahini and they used to boast about it. Use some of the guerilla tactics against RSS goons that your ancestors used in bengal against Pakistan. it would help #CAA  #NRC_CAA_Protest
19866,,1,Sun Mar 01 20:21:41 +0000 2020,"RT @ihareshch: Whether it is North East,Uttar Pradesh or Delhi, The Protest against #CAA are dangerous for Country.  These are not the Protâ€¦"
19868,"Mumbai, India",1,Sun Mar 01 20:17:14 +0000 2020,45+ Indian died in Delhi and many got Injured bcoz of #CAA now what government is thinking still to pass bill that means there is no value of this Indian lives in front of #BJP #WorldAgainstDelhiPogrom #JusticeForFaizan #DelhiPoliceMurders ##ShaheenBagh @sushant_says @imMAK02
19870,"Mumbai, India",2,Sun Mar 01 20:15:02 +0000 2020,45+ Indian died in Delhi and many got Injured bcoz of #CAA now what government is thinking still to pass bill that means there is no value of this Indian lives in front of #BJP Government. #WorldAgainstDelhiPogrom #JusticeForFaizan #DelhiPoliceMurders #Modi #ShaheenBagh
19872,KolkataðŸ‡®ðŸ‡³ and DhakaðŸ‡§ðŸ‡©,1,Sun Mar 01 20:01:04 +0000 2020,RT @WestBengal_BN: Accusing #MamataBanerjee of instigating #riots and burning of trains and #railway stations in #WestBengal during violentâ€¦
19873,"Dev Bhoomi, Uttrakhand",0,Sun Mar 01 19:59:18 +0000 2020,@MonaAlamm @hinaparvezbutt That's #NRC not #CAA   And #NRC hasn't even been drafted yet... And it's for every Indian not for Indian Muslims only ðŸ™„
19874,,5,Sun Mar 01 19:55:36 +0000 2020,RT @AKhatri25: @AmyMek Today both Indian and Pakistani judiciary systems failed.   One in front of #ShaheenBagh protestors who are againstâ€¦
19875,"Kolkata, West Bengal, India",1,Sun Mar 01 19:54:30 +0000 2020,"Accusing #MamataBanerjee of instigating #riots and burning of trains and #railway stations in #WestBengal during violent anti-#CAAProtests, #AmitShah in #Kolkata alleged that she was 'disrespecting' tribal and scheduled caste leaders by opposing and spreading fear about #CAA."
19877,Vasudhev Kutumbkam,2,Sun Mar 01 19:45:02 +0000 2020,"@meenakshisharan @fayedsouza Uneducated opponents of #CAA are being propelled into panic and protest for political purpose; they cant be expected to empathize with anyone.   But if educated ones write like this, there has to be an ulterior agenda. Empathy"
19880,,78,Sun Mar 01 19:34:00 +0000 2020,"RT @GautamBhan80: 3/     In a nutshell: the #CAA constantly seeks to separate from the #NRC. Former is the ""Act"", latter only an ""implementâ€¦"
19881,,1174,Sun Mar 01 19:33:54 +0000 2020,"RT @GautamBhan80: 1/ There are lots of good and vital ethical, moral, and political arguments against the fundamental injustice of the #CAAâ€¦"
19888,Riyadh,0,Sun Mar 01 19:19:05 +0000 2020,#NorthEastDelhi rioters are nobody but Pakistani Hindus who entered India and are attacking Indian Muslims for protesting against #CAA  Send those terrorists back where they've come from disrupting the Nation's #Peace &amp; #Hindu #Muslim Brotherhood
19895,India ,0,Sun Mar 01 19:01:38 +0000 2020,@NakulShenoy @agrawalsanjeev Yes.  CAA by itself poses zero risk to minorities.  Does not uncitizen anybody.    And majority constituents like me have already done a lot to ensure no NRC for now.    So its unforgiveable that India will be burnt for #CAA. 
19896,India ,0,Sun Mar 01 18:58:08 +0000 2020,@fayedsouza #CAA Ctd..   AND IT IS INDIA'S SOVEREIGN RIGHT (AS WELL AS CONSTITUTIONAL DUTY) TO ENSURE THAT INDIA'S INDIGENOUS POPULATION MIX (as of date of adoption of the Constitution) IS NOT AMBUSHED (ATLEAST) ANY FURTHER.
19897,India ,0,Sun Mar 01 18:52:27 +0000 2020,"@fayedsouza #CAA ctd ..  That's already a lot of reasons, sigh! Anyways, lets continue ..   Next Q of yours:   What purpose does it serve to our citizens and what price are we willing to pay for it?  The purpose it serves is well illustrated in my aforesa"
19904,,0,Sun Mar 01 18:42:09 +0000 2020,@fayedsouza Till now I though u r educated person and studied #CAA. Why don't you ask ppl who are sitting and blocking roads in the name of protest what is the problem with #CAA to them and doing riots in delhi. Why don't you ask #AAP about involvement of
19914,,0,Sun Mar 01 18:24:44 +0000 2020,Can BJP supporters/voters atleast acknowledge that the #DelhiBurning situation and the whole â€˜goons out on the looseâ€™ scenario is the extremistsâ€™ reaction to the govtâ€™s CAA act? I have seen many people normalise such barbaric deeds. Do you believe in such devilish behaviour? #CAA
19916,"à¤¨à¤ˆ à¤¦à¤¿à¤²à¥à¤²à¥€, à¤­à¤¾à¤°à¤¤",0,Sun Mar 01 18:23:14 +0000 2020,@lakshmianand96 I beg to differ actually there is a political class in this country which is bring affected by #CAA &amp; this person represents that class and that class is out of power for 6 years.
19918,,0,Sun Mar 01 18:20:42 +0000 2020,@fayedsouza Whatevr is happening now is the purpose of #CAA_NRC_NPR #CAA. This is all by design and this is the #GujaratModel.
19923,,0,Sun Mar 01 18:16:51 +0000 2020,@RanaAyyub No because they understand #CAA and they are not chutya like you
19931,,0,Sun Mar 01 18:02:13 +0000 2020,"@rulajebreal @RanaAyyub @FareedZakaria It is all sham. Riots in North East Delhi were started by minority community and they were well prepared to attack on the majority. Hindus have acted in self defence. It was to show opposition to #CAA, #NRC &amp; #UC"
19936,"Bombay, India",0,Sun Mar 01 17:55:43 +0000 2020,"@yadavparas16 Since Bangladesh and Pakistan were part of India, all its citizens were part of India too. So if you want to give citizenship to the illegal immigrants on the basis of persecution, it should be given irrespective of the religion they belong "
19937,Gurgaon ,2,Sun Mar 01 17:52:27 +0000 2020,@ShekharGupta Fire has not been lit up by BJP. The fire has been ignited by opposition parties and mediapersons like by dishing out falsehoods on #CAA to the people.
19938,,0,Sun Mar 01 17:50:17 +0000 2020,"@pankajpathak76 @AdhanaKanishk @PChidambaram_IN I hv listen each point &amp; hv mltiple objctn on sme points &amp; all he is jst interpretating.  To undrstnd #CAA, 1 mst  hv to deal wid A5 to A11 and u can nt luk A14 sprtly, in this case citizenship &amp;"
19939,,0,Sun Mar 01 17:50:13 +0000 2020,@MayankM59414320 @TarekFatah @manudev1991 @AmitShah @narendramodi @PMOIndia @HMOIndia @BJP4India Can likes of @BDUTT @sardesairajdeep @ndtv @IndiaToday  @Javedakhtarjadu @ReallySwara @sonamakapoor  why they remain silent on  these slogans responsible for 
19940,,0,Sun Mar 01 17:49:34 +0000 2020,@aaqibrk This guy creating more problems by linking routine problems as communal. This guy is #intellectualjihadi and should be arrested for instigating violence.  Many Hindu cab drivers cancelled my trip because the trip was short.  #ISupportKapilMishra 
19941,India,0,Sun Mar 01 17:49:14 +0000 2020,@fayedsouza Very clever. Only mentioned #CAA which is for non muslim refugees in India. Are they behind #DelhiRiot?  You didn't mention #NRC_NPR which would affect illegal Muslims in India. And the riots are the very reason #NRC_NPR is needed.
19945,,0,Sun Mar 01 17:43:37 +0000 2020,"@CNN @RanaAyyub The riots in North East Delhi were started by minority community and they were well prepared to attack on the majority. This happened because they wanted to show their displeasure of Modiji to Trump. India supports #NRC, #CAA, #UCC &amp; p"
19948,Greater Noida,0,Sun Mar 01 17:40:46 +0000 2020,Govt should start a process stating that all citizens of India must enroll their name in citizenship list irrespective of proofs. And there must be a deadline for that. In this way everyone will feel safe. #CAA #SupremeCourt #PMO @AmitShah @narendramodi
19951,India,0,Sun Mar 01 17:37:57 +0000 2020,"@_sabanaqvi Ma'am Alu is copyright by #RahulGandhi, pls don't ever try to touch it! All frauds of this beautiful country! Only work you people do is inciting your people all the time. The real Hindus believe in karma and help this great nation #CAA_NRC_Pr"
19952,,0,Sun Mar 01 17:36:24 +0000 2020,Time to #BoycottSprite after #boycottthapad. Firm on Indianness and #IsupportCAA #CAA #CAA_NRC_NPR @CocaCola_Ind @CocaColaCo @CocaCola Chose ur brand ambassadors wisely in India. not someone like Tapsee who  divides India. #India #AmitShah #shaheenbaghcollapse #CAA_NRC_Protests
19954,"""Vasudhaiva Kutumbakam..""",0,Sun Mar 01 17:35:37 +0000 2020,"@DesNYDC @CNN @RanaAyyub 4.. While the government they claim to be fascists etc didnt used force to send them home , neither caused any issue in pritest but tried to againand again tell them that this law of #CAA  do not have any effect on any indian citi"
19959,Chennai,0,Sun Mar 01 17:28:23 +0000 2020,"@rajinikanth For the benefit of nation, this guy can allow media and ppl to fully concentrate on Pro or Anti #CAA. He is wasting everyone's belief and time as well. None of his statements are going to be clear including his Political entry. #CAA_NRC_NPR #"
19960,United States,0,Sun Mar 01 17:27:50 +0000 2020,citizenship amendment act.  one of the stupidest name for a law designed to help stateless people.  and you wonder why some indian muslims fear their citizenship would be amended?  #caa
19968,"Goa, India",0,Sun Mar 01 17:20:10 +0000 2020,@prudentgoa @goacm @INCGoa @Goaforwardparty @BJP4Goa Good... But what is relation between #CAA and Hindu God Parshuram???
19974,,3,Sun Mar 01 17:16:55 +0000 2020,Trust others and you shall be trusted upon   #SundayThoughts #quoteoftheday #WomenWhoCode #lifestyle #Trump #QAnon #QuantumLeap #Thalapathy #ISupportKapilMishra #Afghanistan #SmackDown #FBvGS #gold #CFC #CAA #DelhiBurns #USA #Police #WomensDay #MentalHealthMatters
19976,"Hyderabad, India",0,Sun Mar 01 17:11:29 +0000 2020,"@fayedsouza For the sole reason to know the real faces and real intention of some people like u, and majorly the followers of Islam. #CAA will thus protect the minorities from your agendas."
19979,"Colombo, Sri Lanka",0,Sun Mar 01 17:09:20 +0000 2020,@SoooMD @EmmanuelMacron @RelFreedomCntr @StateDept @ABCReligion @ImranKhanPTI @HuffPostRelig The world appreciates canada or France for saving 1 pakistan Christian women . But #Indian PM Modi @narendramodi has done the same for 1000s of Pakistan Christian
19981,"à¤—à¥‹à¤°à¤–à¤ªà¥à¤°, à¤­à¤¾à¤°à¤¤",0,Sun Mar 01 17:08:16 +0000 2020,"@rakhitripathi @rakhitripathi ji, do you really know even what are you talking? #CAA is not against any citizen of India. #NRC_NPR is not even in existence so what they are protesting for?   It is mislead mob of people who are seating at #ShaheenBagh and "
19983,,1,Sun Mar 01 17:05:21 +0000 2020,@AliTheOrator @fayedsouza Riots is not because of #CAA but because guys like you ruined its purpose by misguiding Indian muslims.  It was and it is the biggest humanitarian effort undertaken anywhere in world.  Stop misinformation... #idiots
19984,,0,Sun Mar 01 17:04:23 +0000 2020,@fayedsouza Riots is not because of #CAA but because guys like you ruined its purpose by misguiding Indian muslims.  It was and it is the biggest humanitarian effort undertaken anywhere in world.  Stop misinformation... #idiots
19985,,0,Sun Mar 01 17:04:02 +0000 2020,"@fayedsouza AT ANY COST WE WANT #CAA , u hv bn tweeting about it since beginning still you don't know the purpose ??  Stop your Anti Modi propaganda.  Now #NRC must be brought in ASAP. 2 Child policy and Uniform Civil Code long pending. Dear @narendramodi"
19986,"Northwood, U.K.",0,Sun Mar 01 17:03:32 +0000 2020,"@MaajidNawaz #CAA is not an anti-Muslim citizenship law. It gives citizenship to refugees who are already in India and are languishing as stateless people eg no place in govt schools, no welfare. It affects ~ 31,000 ppl in total. It is a humanitarian law."
